Song Title,Artist,Cleaned Lyrics
French Exit,Dua Lipa,exit
French Exit,Dua Lipa,exit
Illusion,Dua Lipa,verse
Illusion,Dua Lipa,known miss red flag
Illusion,Dua Lipa,known put lover pedestal
Illusion,Dua Lipa,end last
Illusion,Dua Lipa,time take glasses
Illusion,Dua Lipa,already know type like
Illusion,Dua Lipa,make life takin ride
Illusion,Dua Lipa,already know type think play right
Illusion,Dua Lipa,know could dance night
Illusion,Dua Lipa,chorus
Illusion,Dua Lipa,know think
Illusion,Dua Lipa,like
Illusion,Dua Lipa,think fall illusion
Illusion,Dua Lipa,dance night dance night
Illusion,Dua Lipa,dance night dance night like
Illusion,Dua Lipa,dance night dance night
Illusion,Dua Lipa,dance night dance dance
Illusion,Dua Lipa,verse
Illusion,Dua Lipa,time worked
Illusion,Dua Lipa,time threw match let burn
Illusion,Dua Lipa,grown know deserve
Illusion,Dua Lipa,still like already learned
Illusion,Dua Lipa,already know type like
Illusion,Dua Lipa,make life takin ride
Illusion,Dua Lipa,already know type think play right
Illusion,Dua Lipa,know could dance night
Illusion,Dua Lipa,chorus
Illusion,Dua Lipa,know think
Illusion,Dua Lipa,like
Illusion,Dua Lipa,think fall illusion
Illusion,Dua Lipa,dance night dance night
Illusion,Dua Lipa,dance night dance night like
Illusion,Dua Lipa,dance night dance night
Illusion,Dua Lipa,dance night dance dance
Illusion,Dua Lipa,bridge
Illusion,Dua Lipa,illusion
Illusion,Dua Lipa,really like way
Illusion,Dua Lipa,yeah dance illusion
Illusion,Dua Lipa,yeah dance
Illusion,Dua Lipa,yeah dance
Illusion,Dua Lipa,could dance night woo
Illusion,Dua Lipa,dance night
Illusion,Dua Lipa,chorus
Illusion,Dua Lipa,know think
Illusion,Dua Lipa,like
Illusion,Dua Lipa,think fall illusion
Illusion,Dua Lipa,know think
Illusion,Dua Lipa,like illusion illusion illusion illusion
Illusion,Dua Lipa,think fall illusion
Falling Forever,Dua Lipa,long long
Falling Forever,Dua Lipa,verse
Falling Forever,Dua Lipa,good holding
Falling Forever,Dua Lipa,know mind quick throw away moment
Falling Forever,Dua Lipa,us maybe know yet
Falling Forever,Dua Lipa,cause want
Falling Forever,Dua Lipa,say got gone
Falling Forever,Dua Lipa,believe every flame get colder
Falling Forever,Dua Lipa,hope give carry
Falling Forever,Dua Lipa,till tomorrow beyond
Falling Forever,Dua Lipa,chorus
Falling Forever,Dua Lipa,long long
Falling Forever,Dua Lipa,keep getting better
Falling Forever,Dua Lipa,keep falling forever
Falling Forever,Dua Lipa,long long
Falling Forever,Dua Lipa,stay like together
Falling Forever,Dua Lipa,keep falling forever
Falling Forever,Dua Lipa,verse
Falling Forever,Dua Lipa,could wake alone
Falling Forever,Dua Lipa,tonight give something remember
Falling Forever,Dua Lipa,impossible measure
Falling Forever,Dua Lipa,right
Falling Forever,Dua Lipa,falling deep falling deep
Falling Forever,Dua Lipa,deep arms baby
Falling Forever,Dua Lipa,baby keep
Falling Forever,Dua Lipa,keep close
Falling Forever,Dua Lipa,till tomorrow beyond
Falling Forever,Dua Lipa,chorus
